store_nbr,year,total_sales,prev_year_sales,yoy_growth_pct
39,2014,3814116.46,2657474.69,43.52
39,2015,4440204.40,3814116.46,16.42
39,2016,5601327.02,4440204.40,26.15
39,2017,3739069.96,5601327.02,-33.25
40,2013,1984719.28,NULL,NULL
40,2014,3533060.71,1984719.28,78.01
40,2015,4305866.32,3533060.71,21.87
40,2016,5067166.01,4305866.32,17.68
40,2017,3504945.09,5067166.01,-30.83
41,2013,1728476.52,NULL,NULL
41,2014,2901892.50,1728476.52,67.89
41,2015,3365828.07,2901892.50,15.99
41,2016,4049727.74,3365828.07,20.32
41,2017,2945114.30,4049727.74,-27.28
42,2013,0.00,NULL,NULL
42,2014,0.00,0.00,NULL
42,2015,1564016.05,0.00,NULL
42,2016,4316266.89,1564016.05,175.97
42,2017,3065484.94,4316266.89,-28.98
43,2013,2114036.66,NULL,NULL
43,2014,3210983.47,2114036.66,51.89
43,2015,3797679.98,3210983.47,18.27
43,2016,3982618.41,3797679.98,4.87
43,2017,3286373.69,3982618.41,-17.48
44,2013,8327322.00,NULL,NULL
44,2014,13380213.11,8327322.00,60.68
44,2015,13524425.14,13380213.11,1.08
44,2016,16365473.03,13524425.14,21.01
44,2017,10490119.98,16365473.03,-35.90
45,2013,7098805.58,NULL,NULL
45,2014,11245711.69,7098805.58,58.42
45,2015,11973483.88,11245711.69,6.47
45,2016,14524087.96,11973483.88,21.30
45,2017,9655921.31,14524087.96,-33.52
46,2013,6241694.59,NULL,NULL
46,2014,8709582.86,6241694.59,39.54
46,2015,9331017.19,8709582.86,7.14
46,2016,10376443.34,9331017.19,11.20
46,2017,7237324.15,10376443.34,-30.25
47,2013,6727160.23,NULL,NULL
47,2014,10455264.67,6727160.23,55.42
47,2015,11320021.34,10455264.67,8.27
47,2016,13376745.43,11320021.34,18.17
47,2017,9069118.39,13376745.43,-32.20
48,2013,5331640.56,NULL,NULL
48,2014,7602765.75,5331640.56,42.60
48,2015,8051027.20,7602765.75,5.90
48,2016,8931550.36,8051027.20,10.94
48,2017,6016146.41,8931550.36,-32.64
49,2013,4185245.18,NULL,NULL
49,2014,8122547.23,4185245.18,94.08
49,2015,10035304.41,8122547.23,23.55
49,2016,12692750.49,10035304.41,26.48
49,2017,8384248.47,12692750.49,-33.94
50,2013,4382813.19,NULL,NULL
50,2014,5939996.57,4382813.19,35.53
50,2015,6243627.29,5939996.57,5.11
50,2016,7171355.65,6243627.29,14.86
50,2017,4915227.92,7171355.65,-31.46
51,2013,4726213.30,NULL,NULL
51,2014,7003761.63,4726213.30,48.19
51,2015,7327941.53,7003761.63,4.63
51,2016,8489287.93,7327941.53,15.85
51,2017,5364285.14,8489287.93,-36.81
52,2013,0.00,NULL,NULL
52,2014,0.00,0.00,NULL
52,2015,0.00,0.00,NULL
52,2016,0.00,0.00,NULL
52,2017,2696169.73,0.00,NULL
53,2013,0.00,NULL,NULL
53,2014,1376497.06,0.00,NULL
53,2015,2562626.69,1376497.06,86.17
53,2016,4565504.33,2562626.69,78.16
53,2017,2711539.21,4565504.33,-40.61
54,2013,1530312.55,NULL,NULL
54,2014,2092119.27,1530312.55,36.71
54,2015,2421384.01,2092119.27,15.74
54,2016,2944339.72,2421384.01,21.60
54,2017,2069327.57,2944339.72,-29.72
