date,daily_sales,rolling_7day_avg
2013-04-16,333431.88,362066.96
2013-04-17,334990.52,365230.41
2013-04-18,281924.51,362187.71
2013-04-19,311588.71,361786.82
2013-04-20,459884.84,362707.15
2013-04-21,485721.03,363750.56
2013-04-22,328886.32,362346.83
2013-04-23,302097.83,357870.54
2013-04-24,310555.19,354379.77
2013-04-25,268790.62,352503.50
2013-04-26,304413.56,351478.48
2013-04-27,446665.34,349589.98
2013-04-28,477623.47,348433.19
2013-04-29,328795.87,348420.27
2013-04-30,310186.47,349575.79
2013-05-01,507974.64,377778.57
2013-05-02,348709.46,389195.54
2013-05-03,374291.25,399178.07
2013-05-04,520339.52,409702.95
2013-05-05,580268.55,424366.54
2013-05-06,369869.38,430234.18
2013-05-07,317292.96,431249.39
2013-05-08,332477.41,406178.36
2013-05-09,305868.06,400058.16
2013-05-10,335937.44,394579.05
2013-05-11,512090.58,393400.63
2013-05-12,387860.51,365913.76
2013-05-13,350598.06,363160.72
2013-05-14,308469.31,361900.20
2013-05-15,329113.56,361419.65
2013-05-16,307556.95,361660.92
2013-05-17,330004.24,360813.32
2013-05-18,480969.56,356367.46
2013-05-19,518153.55,374980.75
2013-05-20,341787.22,373722.06
2013-05-21,307178.40,373537.64
2013-05-22,301785.48,369633.63
2013-05-23,289261.06,367019.93
2013-05-24,398389.24,376789.22
2013-05-25,417930.14,367783.58
2013-05-26,450631.40,358137.56
2013-05-27,321630.83,355258.08
2013-05-28,307329.17,355279.62
2013-05-29,309333.38,356357.89
2013-05-30,304344.85,358512.72
2013-05-31,330257.84,348779.66
2013-06-01,566901.82,370061.33
2013-06-02,637698.50,396785.20
2013-06-03,426332.10,411742.52
2013-06-04,369705.16,420653.38
2013-06-05,361791.08,428147.33
2013-06-06,317496.77,430026.18
2013-06-07,357673.09,433942.64
2013-06-08,466292.70,419569.91
2013-06-09,526804.73,403727.95
2013-06-10,349754.29,392788.26
2013-06-11,283858.22,380524.41
2013-06-12,320173.58,374579.05
2013-06-13,282886.92,369634.79
2013-06-14,326956.74,365246.74
2013-06-15,505950.67,370912.16
2013-06-16,435894.08,357924.93
2013-06-17,370944.27,360952.07
2013-06-18,320885.34,366241.66
2013-06-19,319235.26,366107.61
2013-06-20,293877.94,367677.76
2013-06-21,319722.69,366644.32
2013-06-22,446347.31,358129.56
2013-06-23,504964.85,367996.81
2013-06-24,336631.96,363095.05
2013-06-25,305119.53,360842.79
2013-06-26,301847.25,358358.79
2013-06-27,266525.46,354451.29
2013-06-28,324210.97,355092.48
2013-06-29,509379.11,364097.02
2013-06-30,533481.69,368170.85
2013-07-01,441758.39,383188.91
2013-07-02,390958.38,395451.61
2013-07-03,374551.92,405837.99
2013-07-04,327020.18,414480.09
2013-07-05,351401.50,418364.45
2013-07-06,479514.49,414098.08
2013-07-07,500606.07,409401.56
2013-07-08,365453.00,398500.79
2013-07-09,317279.15,387975.19
2013-07-10,314134.89,379344.18
2013-07-11,281750.93,372877.15
2013-07-12,308786.44,366789.28
2013-07-13,432569.10,360082.80
2013-07-14,438722.42,351242.27
2013-07-15,348803.05,348863.71
2013-07-16,335516.23,351469.01
2013-07-17,324313.82,352923.14
2013-07-18,287074.87,353683.70
2013-07-19,313332.56,354333.15
2013-07-20,435497.73,354751.52
2013-07-21,437952.62,354641.55
2013-07-22,342802.30,353784.30
2013-07-23,316257.46,351033.05
2013-07-24,309243.79,348880.19
2013-07-25,298074.23,350451.53
2013-07-26,318745.69,351224.83
2013-07-27,423890.50,349566.66
2013-07-28,433358.65,348910.37
2013-07-29,331493.29,347294.80
2013-07-30,318553.99,347622.88
2013-07-31,357982.98,354585.62
2013-08-01,397555.32,368797.20
2013-08-02,393831.12,379523.69
2013-08-03,516956.85,392818.88
2013-08-04,514267.28,404377.26
2013-08-05,407033.81,415168.76
2013-08-06,357263.85,420698.74
2013-08-07,351302.13,419744.34
2013-08-08,310953.02,407372.58
2013-08-09,337521.67,399328.37
2013-08-10,434184.94,387503.82
2013-08-11,434720.32,376139.97
2013-08-12,349539.22,367926.45
2013-08-13,317103.33,362189.24
2013-08-14,324377.39,358342.84
2013-08-15,311043.17,358355.72
2013-08-16,364487.32,362207.96
2013-08-17,448835.31,364300.87
2013-08-18,464053.77,368491.36
2013-08-19,362085.53,370283.69
2013-08-20,343046.11,373989.80
2013-08-21,335724.64,375610.84
2013-08-22,306473.26,374957.99
2013-08-23,331906.37,370303.57
2013-08-24,420576.16,366266.55
2013-08-25,443694.09,363358.02
2013-08-26,347159.64,361225.75
2013-08-27,319688.22,357888.91
2013-08-28,319322.06,355545.69
2013-08-29,294518.69,353837.89
2013-08-30,354932.93,357127.40
2013-08-31,523631.38,371849.57
2013-09-01,640406.22,399951.31
2013-09-02,458792.96,415898.92
2013-09-03,397680.42,427040.67
2013-09-04,392565.49,437504.01
2013-09-05,330622.78,442661.74
2013-09-06,335442.25,439877.36
2013-09-07,518584.25,439156.34
2013-09-08,560852.01,427791.45
2013-09-09,377151.71,416128.41
2013-09-10,308074.47,403327.56
2013-09-11,323124.62,393407.44
2013-09-12,282855.73,386583.57
2013-09-13,319556.94,384314.25
2013-09-14,476364.01,378282.78
2013-09-15,532852.96,374282.92
2013-09-16,373229.84,373722.65
2013-09-17,327282.95,376466.72
2013-09-18,315687.72,375404.31
2013-09-19,279580.37,374936.40
2013-09-20,331846.90,376692.11
2013-09-21,468298.38,375539.88
2013-09-22,502068.70,371142.12
2013-09-23,356043.03,368686.87
2013-09-24,303333.39,365265.50
2013-09-25,312490.11,364808.70
2013-09-26,273057.88,363876.91
2013-09-27,320246.57,362219.72
2013-09-28,484903.69,364591.91
2013-09-29,522868.44,367563.30
2013-09-30,367068.45,369138.36
2013-10-01,436441.03,388153.74
2013-10-02,414455.66,402720.25
2013-10-03,348933.25,413559.58
2013-10-04,378109.98,421825.78
2013-10-05,540156.63,429719.06
2013-10-06,553031.42,434028.06
2013-10-07,373387.11,434930.72
2013-10-08,326726.72,419257.25
2013-10-09,322529.42,406124.93
2013-10-10,305047.10,399855.48
2013-10-11,402913.85,403398.89
2013-10-12,426379.69,387145.04
2013-10-13,481781.26,376966.45
2013-10-14,342694.72,372581.82
2013-10-15,305242.57,369512.66
2013-10-16,355696.96,374250.88
2013-10-17,312949.41,375379.78
2013-10-18,323327.87,364010.36
2013-10-19,488245.57,372848.34
2013-10-20,537713.51,380838.66
2013-10-21,348721.33,381699.60
2013-10-22,301641.79,381185.21
2013-10-23,323105.12,376529.23
2013-10-24,276059.08,371259.18
2013-10-25,317570.43,370436.69
2013-10-26,452902.36,365387.66
2013-10-27,512891.48,361841.65
2013-10-28,346941.91,361587.45
2013-10-29,302333.00,361686.20
2013-10-30,319494.71,361170.42
2013-10-31,298195.43,364332.76
2013-11-01,403637.23,376628.02
2013-11-02,540615.56,389158.47
2013-11-03,602796.56,402002.06
2013-11-04,424314.17,413055.24
2013-11-05,393322.18,426053.69
2013-11-06,386426.98,435615.44
2013-11-07,346293.34,442486.57
2013-11-08,358473.98,436034.68
2013-11-09,513850.32,432211.08
2013-11-10,587666.49,430049.64
2013-11-11,374087.89,422874.45
2013-11-12,373277.75,420010.96
2013-11-13,332279.26,412275.58
2013-11-14,284567.40,403457.58
2013-11-15,349383.30,402158.92
2013-11-16,524065.59,403618.24
2013-11-17,579209.23,402410.06
2013-11-18,391945.55,404961.15
2013-11-19,329455.27,398700.80
2013-11-20,354337.73,401852.01
2013-11-21,298047.05,403777.67
2013-11-22,340734.21,402542.09
2013-11-23,485544.30,397039.05
2013-11-24,550925.29,392998.49
2013-11-25,365965.51,389287.05
2013-11-26,323292.83,388406.70
2013-11-27,337083.29,385941.78
2013-11-28,305982.98,387075.49
2013-11-29,357000.40,389399.23
2013-11-30,541977.66,397461.14
2013-12-01,698217.13,418502.83
2013-12-02,495488.37,437006.09
2013-12-03,424438.05,451455.41
2013-12-04,424147.05,463893.09
2013-12-05,386406.81,475382.21
2013-12-06,432661.76,486190.97
2013-12-07,537181.32,485505.78
2013-12-08,588855.90,469882.75
2013-12-09,442309.31,462285.74
2013-12-10,414421.70,460854.83
2013-12-11,422957.20,460684.85
2013-12-12,384256.08,460377.61
2013-12-13,434657.01,460662.65
2013-12-14,554911.92,463195.59
2013-12-15,642015.78,470789.86
2013-12-16,516060.29,481325.71
2013-12-17,480470.72,490761.28
2013-12-18,527481.34,505693.30
2013-12-19,507461.04,523294.01
2013-12-20,544104.27,538929.33
2013-12-21,685673.07,557609.50
2013-12-22,696295.15,565363.70
2013-12-23,792865.28,604907.27
2013-12-24,620663.29,624934.78
2013-12-26,470731.16,616827.61
2013-12-27,479314.97,612806.74
2013-12-28,556952.31,614642.18
2013-12-29,499719.51,588077.38
2013-12-30,635134.74,579340.18
2013-12-31,507264.66,538540.09
2014-01-01,8602.07,451102.77
2014-01-02,801011.23,498285.64
2014-01-03,680672.85,527051.05
2014-01-04,936628.89,581290.56
2014-01-05,949618.79,645561.89
2014-01-06,602268.56,640866.72
2014-01-07,563450.60,648893.28
2014-01-08,636176.85,738546.82
2014-01-09,496377.93,695027.78
2014-01-10,543055.33,675368.14
2014-01-11,787321.46,654038.50
2014-01-12,844633.60,639040.62
2014-01-13,555547.02,632366.11
2014-01-14,502643.10,623679.33
2014-01-15,567067.47,613806.56
2014-01-16,502789.21,614722.46
2014-01-17,542937.92,614705.68
2014-01-18,786779.89,614628.32
2014-01-19,851735.33,615642.85
2014-01-20,575850.06,618543.28
2014-01-21,538817.21,623711.01
2014-01-22,553097.60,621715.32
2014-01-23,460789.04,615715.29
2014-01-24,526124.57,613313.39
2014-01-25,733880.98,605756.40
2014-01-26,814057.73,600373.88
2014-01-27,540798.83,595366.57
2014-01-28,481593.44,587191.74
2014-01-29,512853.99,581442.65
2014-01-30,453642.97,580421.79
2014-01-31,560816.19,585377.73
2014-02-01,648870.20,573233.34
2014-02-02,619805.54,545483.02
2014-02-03,461637.52,534174.26
2014-02-04,403189.59,522973.71
2014-02-05,399138.31,506728.62
2014-02-06,359139.10,493228.06
2014-02-07,389471.57,468750.26
2014-02-08,530128.06,451787.10
2014-02-09,520753.75,437636.84
2014-02-10,396622.74,428349.02
2014-02-11,358382.73,421948.04
2014-02-12,387758.39,420322.33
2014-02-13,347373.30,418641.51
2014-02-14,361206.41,414603.63
2014-02-15,538893.36,415855.81
2014-02-16,595300.24,426505.31
2014-02-17,412029.29,428706.24
2014-02-18,365331.25,429698.89
2014-02-19,360161.64,425756.50
2014-02-20,322451.92,422196.30
2014-02-21,369403.65,423367.33
2014-02-22,538206.08,423269.15
2014-02-23,487896.46,407925.76
2014-02-24,404224.19,406810.74
2014-02-25,351418.11,404823.15
2014-02-26,353604.27,403886.38
2014-02-27,330330.19,405011.85
2014-02-28,425624.80,413043.44
2014-03-01,911360.26,466351.18
2014-03-02,667413.05,491996.41
2014-03-03,613973.03,521960.53
2014-03-04,748930.90,578748.07
2014-03-05,741756.42,634198.38
2014-03-06,614082.44,674734.41
2014-03-07,598242.34,699394.06
2014-03-08,753345.26,676820.49
2014-03-09,916117.65,712349.72
2014-03-10,587414.83,708555.69
2014-03-11,539365.38,678617.76
2014-03-12,575676.80,654892.10
2014-03-13,473298.04,634780.04
2014-03-14,530515.26,625104.74
2014-03-15,731049.79,621919.68
2014-03-16,929808.49,623875.51
2014-03-17,612719.52,627490.47
2014-03-18,537427.87,627213.68
2014-03-19,585974.66,628684.80
2014-03-20,500897.11,632627.53
2014-03-21,548811.47,635241.27
2014-03-22,771704.93,641049.15
2014-03-23,838814.64,628050.03
2014-03-24,571762.05,622198.96
2014-03-25,539861.62,622546.64
2014-03-26,569680.54,620218.91
2014-03-27,468581.40,615602.38
2014-03-28,538905.78,614187.28
2014-03-29,822333.14,621419.88
2014-03-30,873958.84,626440.48
2014-03-31,651800.51,637874.55
2014-04-01,485079.89,630048.59
2014-04-02,463917.32,614939.55
2014-04-03,388867.96,603551.92
2014-04-04,422578.75,586933.77
2014-04-05,617680.19,557697.64
2014-04-06,631888.25,523116.12
2014-04-07,426091.10,490871.92
2014-04-08,376663.27,475383.83
2014-04-09,375309.08,462725.52
2014-04-10,334052.76,454894.77
2014-04-11,379646.85,448761.64
2014-04-12,529919.92,436224.46
2014-04-13,540190.28,423124.75
2014-04-14,381386.31,416738.35
2014-04-15,364689.06,415027.75
2014-04-16,411357.09,420177.47
2014-04-17,397464.84,429236.33
2014-04-18,394392.18,431342.81
2014-04-19,496904.75,426626.36
2014-04-20,520126.40,423760.09
2014-04-21,398677.40,426230.24
2014-04-22,370552.25,427067.84
2014-04-23,372232.60,421478.63
2014-04-24,320875.48,410537.29
2014-04-25,357173.71,405220.37
2014-04-26,497334.74,405281.79
2014-04-27,560508.42,411050.65
2014-04-28,362271.92,405849.87
2014-04-29,326338.35,399533.60
2014-04-30,357079.96,397368.94
2014-05-01,530380.85,427298.28
2014-05-02,443284.89,439599.88
2014-05-03,610391.75,455750.88
2014-05-04,646164.86,467987.51
2014-05-05,427601.70,477320.34
2014-05-06,388945.89,486264.27
2014-05-07,391932.18,491243.16
2014-05-08,337483.71,463686.43
2014-05-09,381335.20,454836.47
2014-05-10,577012.03,450067.94
2014-05-11,454512.93,422689.09
2014-05-12,398251.89,418496.26
2014-05-13,360734.52,414466.07
2014-05-14,356373.81,409386.30
2014-05-15,332272.83,408641.89
2014-05-16,380822.74,408568.68
2014-05-17,537873.96,402977.53
2014-05-18,634519.74,428692.78
2014-05-19,388814.75,427344.62
2014-05-20,354372.34,426435.74
2014-05-21,356898.48,426510.69
2014-05-22,310660.14,423423.16
2014-05-23,349549.89,418955.61
2014-05-24,516627.26,415920.37
2014-05-25,573412.21,407190.73
2014-05-26,373831.09,405050.20
2014-05-27,327642.14,401231.60
2014-05-28,338481.78,398600.65
2014-05-29,326624.58,400881.28
2014-05-30,375782.64,404628.81
2014-05-31,597192.47,416138.13
2014-06-01,742732.83,440326.79
2014-06-02,512725.77,460168.89
2014-06-03,443636.19,476739.47
2014-06-04,423284.50,488854.14
2014-06-05,359474.51,493546.99
2014-06-06,391266.13,495758.91
2014-06-07,557142.46,490037.48
2014-06-08,626026.96,473365.22
2014-06-09,415798.95,459518.53
2014-06-10,351689.42,446383.27
2014-06-11,373828.16,439318.08
2014-06-12,329408.07,435022.88
2014-06-13,392308.37,435171.77
2014-06-14,622072.99,444447.56
2014-06-15,441279.93,418055.13
2014-06-16,447450.24,422576.74
2014-06-17,380396.04,426677.69
2014-06-18,373408.66,426617.76
2014-06-19,332280.94,427028.17
2014-06-20,369206.79,423727.94
2014-06-21,538613.86,411805.21
2014-06-22,591184.12,433220.09
2014-06-23,414929.64,428574.29
2014-06-24,340464.75,422869.82
2014-06-25,355342.40,420288.93
2014-06-26,315798.18,417934.25
2014-06-27,370793.57,418160.93
2014-06-28,510870.81,414197.64
2014-06-29,567218.89,410774.03
2014-06-30,429324.06,412830.38
2014-07-01,720480.62,467118.36
2014-07-02,747430.15,523130.90
2014-07-03,583844.72,561423.26
2014-07-04,595424.31,593513.36
2014-07-05,817307.11,637289.98
2014-07-06,918276.60,687441.08
2014-07-07,638526.43,717327.13
2014-07-08,557291.50,694014.40
2014-07-09,574451.41,669303.15
2014-07-10,498047.55,657046.42
2014-07-11,535644.18,648506.40
2014-07-12,756698.75,639848.06
2014-07-13,733653.78,613473.37
2014-07-14,584867.15,605807.76
2014-07-15,562860.03,606603.26
2014-07-16,621336.49,613301.13
2014-07-17,498221.71,613326.01
2014-07-18,547619.06,615036.71
2014-07-19,728988.23,611078.06
2014-07-20,776474.12,617195.25
2014-07-21,600228.43,619389.72
2014-07-22,530276.04,614734.87
2014-07-23,574168.64,607996.60
2014-07-24,484618.82,606053.33
2014-07-25,579767.29,610645.94
2014-07-26,688919.55,604921.84
2014-07-27,747307.87,600755.23
2014-07-28,583936.69,598427.84
2014-07-29,524743.33,597637.45
2014-07-30,578056.97,598192.93
2014-07-31,532423.56,605022.18
2014-08-01,506826.80,594602.11
2014-08-02,626533.64,585689.83
2014-08-03,625898.21,568345.60
2014-08-04,471173.30,552236.54
2014-08-05,417197.48,536872.85
2014-08-06,402914.37,511852.48
2014-08-07,359701.53,487177.90
2014-08-08,397759.94,471596.92
2014-08-09,496192.79,452976.80
2014-08-10,509681.77,436374.45
2014-08-11,409544.58,427570.35
2014-08-12,353898.21,418527.60
2014-08-13,372116.55,414127.91
2014-08-14,340740.82,411419.23
2014-08-15,402631.84,412115.22
2014-08-16,533996.16,417515.70
2014-08-17,564443.17,425338.76
2014-08-18,433042.30,428695.58
2014-08-19,379329.95,432328.68
2014-08-20,398126.79,436044.43
2014-08-21,355108.88,438097.01
2014-08-22,388359.90,436058.16
2014-08-23,499678.21,431155.60
2014-08-24,528990.56,426090.94
2014-08-25,412250.08,423120.62
2014-08-26,355053.91,419652.62
2014-08-27,366321.50,415109.00
2014-08-28,327912.43,411223.80
2014-08-29,403288.92,413356.51
2014-08-30,586373.69,425741.58
2014-08-31,660088.18,444469.81
2014-09-01,812526.22,501652.12
2014-09-02,717351.55,553408.93
2014-09-03,726683.86,604889.26
2014-09-04,551340.08,636807.50
2014-09-05,603043.24,665343.83
2014-09-06,870139.45,705881.80
2014-09-07,997964.08,754149.78
2014-09-08,648651.74,730739.14
2014-09-09,562420.57,708606.15
2014-09-10,612987.47,692363.80
2014-09-11,483462.95,682667.07
2014-09-12,564382.85,677144.16
2014-09-13,795802.24,666524.56
2014-09-14,896501.56,652029.91
2014-09-15,630710.57,649466.89
2014-09-16,608239.97,656012.52
2014-09-17,617472.34,656653.21
2014-09-18,479500.84,656087.20
2014-09-19,550213.09,654062.95
2014-09-20,808490.76,655875.59
2014-09-21,901420.45,656578.29
2014-09-22,589120.29,650636.82
2014-09-23,559954.30,643738.87
2014-09-24,598183.11,640983.27
2014-09-25,466867.38,639178.49
2014-09-26,515474.22,634215.79
2014-09-27,781202.37,630317.45
2014-09-28,886531.79,628190.50
2014-09-29,586682.82,627842.29
2014-09-30,599093.92,633433.66
2014-10-01,784500.25,660050.39
2014-10-02,634306.52,683970.27
2014-10-03,675639.30,706850.99
2014-10-04,931317.51,728296.02
2014-10-05,985466.96,742429.61
2014-10-06,641480.76,750257.89
2014-10-07,586410.27,748445.94
2014-10-08,620201.32,724974.66
2014-10-09,510519.92,707290.86
2014-10-10,702470.32,711123.87
2014-10-11,748309.15,684979.82
2014-10-12,843971.13,664766.13
2014-10-13,611726.93,660515.58
2014-10-14,550589.57,655398.34
2014-10-15,624797.47,656054.93
2014-10-16,538252.61,660016.74
2014-10-17,558538.14,639455.00
2014-10-18,820840.97,649816.69
2014-10-19,935410.60,662879.47
2014-10-20,624629.99,664722.76
2014-10-21,542207.17,663525.28
2014-10-22,584926.36,657829.40
2014-10-23,492233.23,651255.21
2014-10-24,528403.68,646950.28
2014-10-25,758926.23,638105.32
2014-10-26,892128.50,631922.16
2014-10-27,572806.63,624518.83
2014-10-28,512678.81,620300.49
2014-10-29,560819.68,616856.68
2014-10-30,459715.27,612211.26
2014-10-31,561876.07,616993.03
2014-11-01,873539.25,633366.32
2014-11-02,709851.49,607326.74
2014-11-03,973192.04,664524.66
2014-11-04,702751.95,691677.96
2014-11-05,718799.94,714246.57
2014-11-06,566118.38,729447.02
2014-11-07,585330.26,732797.62
2014-11-08,816064.64,724586.96
2014-11-09,941478.42,757676.52
2014-11-10,593376.79,703417.20
2014-11-11,552505.75,681953.46
2014-11-12,588093.48,663281.10
2014-11-13,468057.39,649272.39
2014-11-14,553007.97,644654.92
2014-11-15,786124.20,640377.72
2014-11-16,956619.40,642540.71
2014-11-17,620876.34,646469.22
2014-11-18,553367.20,646592.28
2014-11-19,580234.01,645469.50
2014-11-20,511855.76,651726.41
2014-11-21,567978.73,653865.09
2014-11-22,763720.15,650664.51
2014-11-23,907432.66,643637.84
2014-11-24,610847.96,642205.21
2014-11-25,541225.61,640470.70
2014-11-26,579125.31,640312.31
2014-11-27,475823.90,635164.90
2014-11-28,559619.83,633970.77
2014-11-29,850925.11,646428.62
2014-11-30,1023691.28,663037.00
2014-12-01,817413.56,692546.37
2014-12-02,735319.18,720274.02
2014-12-03,715127.61,739702.92
2014-12-04,578961.52,754436.87
2014-12-05,635445.15,765269.06
2014-12-06,829386.71,762192.15
2014-12-07,1013889.81,760791.93
2014-12-08,790283.29,756916.18
2014-12-09,665123.96,746888.29
2014-12-10,732121.03,749315.92
2014-12-11,580542.18,749541.73
2014-12-12,642760.39,750586.77
2014-12-13,854830.91,754221.65
2014-12-14,999106.13,752109.70
2014-12-15,790182.95,752095.36
2014-12-16,799067.06,771230.09
2014-12-17,779966.50,778065.16
2014-12-18,731938.48,799693.20
2014-12-19,757349.38,816063.06
2014-12-20,935555.52,827595.14
2014-12-21,1056605.20,835809.30
2014-12-22,1008143.35,866946.50
2014-12-23,1064977.97,904933.77
2014-12-24,965982.87,931507.54
2014-12-26,872098.46,951530.39
2014-12-27,740596.16,949137.08
2014-12-28,716329.64,917819.09
2014-12-29,773998.40,877446.69
2014-12-30,912970.53,863850.58
2014-12-31,844380.47,832336.65
2015-01-01,12773.62,696163.90
2015-01-02,657763.39,665544.60
2015-01-03,648880.69,652442.39
2015-01-04,730923.78,654527.27
2015-01-05,569267.30,625279.97
2015-01-06,477886.74,563125.14
2015-01-07,494160.85,513093.77
2015-01-08,417482.69,570909.35
2015-01-09,439381.23,539711.90
2015-01-10,569956.91,528437.07
2015-01-11,694860.95,523285.24
2015-01-12,442845.54,505224.99
2015-01-13,393799.99,493212.59
2015-01-14,400923.97,479893.04
2015-01-15,371146.15,473273.53
2015-01-16,423599.94,471019.06
2015-01-17,621865.43,478434.57
2015-01-18,678277.03,476065.44
2015-01-19,448217.90,476832.92
2015-01-20,405308.78,478477.03
2015-01-21,413202.59,480231.12
2015-01-22,364862.54,479333.46
2015-01-23,416937.18,478381.64
2015-01-24,588849.87,473665.13
2015-01-25,631623.95,467000.40
2015-01-26,410009.62,461542.08
2015-01-27,360009.85,455070.80
2015-01-28,376935.92,449889.85
2015-01-29,343062.16,446775.51
2015-01-30,435899.67,449484.43
2015-01-31,656205.84,459106.72
2015-02-01,815294.48,485345.36
2015-02-02,538301.89,503672.83
2015-02-03,475249.84,520135.69
2015-02-04,451923.15,530848.15
2015-02-05,407491.97,540052.40
2015-02-06,437147.55,540230.67
2015-02-07,599911.60,532188.64
2015-02-08,622994.23,504717.17
2015-02-09,458002.15,493245.78
2015-02-10,400825.99,482613.80
2015-02-11,400115.33,475212.69
2015-02-12,384963.14,471994.28
2015-02-13,493265.47,480011.13
2015-02-14,562855.07,474717.34
2015-02-15,434886.67,447844.83
2015-02-16,420740.90,442521.80
2015-02-17,483088.13,454273.53
2015-02-18,497499.06,468185.49
2015-02-19,436360.91,475528.03
2015-02-20,483681.02,474158.82
2015-02-21,572753.08,475572.82
2015-02-22,691339.07,512208.88
2015-02-23,443349.89,515438.74
2015-02-24,407890.28,504696.18
2015-02-25,395774.95,490164.17
2015-02-26,354938.23,478532.36
2015-02-27,436488.42,471790.56
2015-02-28,635263.40,480720.61
2015-03-01,820434.98,499162.88
2015-03-02,546037.79,513832.58
2015-03-03,492365.24,525900.43
2015-03-04,483330.55,538408.37
2015-03-05,428599.81,548931.46
2015-03-06,463723.97,552822.25
2015-03-07,657377.21,555981.36
2015-03-08,659563.41,532999.71
2015-03-09,480371.95,523618.88
2015-03-10,457881.76,518692.67
2015-03-11,425617.73,510447.98
2015-03-12,382588.67,503874.96
2015-03-13,434806.00,499743.82
2015-03-14,616609.76,493919.90
2015-03-15,662700.87,494368.11
2015-03-16,466598.43,492400.46
2015-03-17,415359.52,486325.85
2015-03-18,398630.00,482470.46
2015-03-19,373324.38,481146.99
2015-03-20,467687.95,485844.41
2015-03-21,624099.23,486914.34
2015-03-22,646466.40,484595.13
2015-03-23,462664.24,484033.10
2015-03-24,407369.72,482891.70
2015-03-25,408258.19,484267.16
2015-03-26,367006.96,483364.67
2015-03-27,436906.61,478967.34
2015-03-28,589854.70,474075.26
2015-03-29,641213.77,473324.88
2015-03-30,437878.84,469784.11
2015-03-31,443278.89,474913.99
2015-04-01,557223.16,496194.70
2015-04-02,524588.90,518706.41
2015-04-03,510296.79,529190.72
